19 20 21 23 24 25 28 26	SAFE
56 58 60 63 66 69 69	SAFE
3 6 7 8 11 15	SAFE
50 53 55 58 63	SAFE
39 41 42 45 42 44 46	UNSAFE
22 25 27 26 25	SAFE
54 57 54 55 55	UNSAFE
50 51 48 49 51 55	UNSAFE
20 23 26 29 28 31 36	SAFE
27 30 31 32 32 33	SAFE
38 41 42 42 40	SAFE
78 80 81 84 87 87 87	SAFE
7 9 10 10 14	SAFE
29 30 30 31 33 35 41	SAFE
50 53 54 58 59 61 63	UNSAFE
6 9 11 15 17 16	UNSAFE
2 4 7 8 12 13 13	UNSAFE
83 84 86 90 94	UNSAFE
3 5 9 10 11 17	UNSAFE
41 43 48 49 50 51 52	UNSAFE
25 28 34 35 38 41 44 42	UNSAFE
40 42 44 51 54 56 57 57	UNSAFE
67 70 76 78 81 85	UNSAFE
6 7 9 12 17 18 20 27	UNSAFE
37 36 39 40 41 44 45	SAFE
47 46 47 48 50 53 55 54	SAFE
10 8 10 11 14 15 15	SAFE
74 73 74 75 79	SAFE
50 48 51 54 57 59 62 67	SAFE
75 73 74 73 74 77	UNSAFE
32 29 30 33 36 33 30	UNSAFE
35 32 31 34 37 39 39	UNSAFE
21 18 20 22 25 23 25 29	UNSAFE
27 26 27 26 28 30 33 39	UNSAFE
55 54 54 56 59	UNSAFE
58 57 58 58 59 62 63 60	UNSAFE
32 29 29 32 33 33	UNSAFE
89 87 87 89 93	UNSAFE
68 66 69 69 70 71 74 81	UNSAFE
77 74 78 80 83 84 87	SAFE
6 5 8 9 13 14 11	UNSAFE
86 84 85 87 90 94 94	UNSAFE
52 50 52 54 55 59 63	UNSAFE
77 75 78 82 88	UNSAFE
20 18 19 22 27 30	UNSAFE
22 19 20 23 28 30 29	UNSAFE
33 30 32 35 42 44 44	UNSAFE
36 35 41 43 46 47 49 53	UNSAFE
60 57 59 66 67 70 73 79	UNSAFE
78 78 79 80 81 82 85	SAFE
18 18 21 22 23 25 26 25	SAFE
90 90 92 94 96 96	SAFE
79 79 80 82 84 88	SAFE
7 7 9 12 13 18	SAFE
37 37 40 38 41 44 47	UNSAFE
71 71 74 71 69	UNSAFE
82 82 84 87 90 91 88 88	UNSAFE
53 53 50 53 57	UNSAFE
63 63 60 63 64 65 71	UNSAFE
63 63 65 66 66 69 70 71	UNSAFE
34 34 36 36 37 40 43 41	UNSAFE
49 49 52 53 56 59 59 59	UNSAFE
86 86 86 87 91	UNSAFE
72 72 73 75 75 80	UNSAFE
45 45 48 51 55 58	UNSAFE
57 57 58 62 65 67 68 67	UNSAFE
30 30 32 36 36	UNSAFE
53 53 55 58 62 66	UNSAFE
29 29 33 34 35 37 39 45	UNSAFE
4 4 9 12 14	UNSAFE
79 79 84 86 88 91 90	UNSAFE
64 64 70 73 73	UNSAFE
62 62 69 71 72 76	UNSAFE
67 67 70 75 78 84	UNSAFE
70 74 76 79 80 83 85 88	SAFE
66 70 71 72 75 78 79 77	SAFE
30 34 37 40 43 46 46	SAFE
33 37 39 40 41 43 47	SAFE
67 71 73 74 80	SAFE
6 10 11 14 16 14 16	UNSAFE
3 7 5 6 5	SAFE
57 61 62 64 62 64 67 67	UNSAFE
44 48 50 51 52 49 53	UNSAFE
43 47 44 47 50 53 58	SAFE
54 58 60 60 63	UNSAFE
30 34 34 36 39 41 42 39	UNSAFE
49 53 55 55 57 60 60	UNSAFE
77 81 81 82 86	UNSAFE
28 32 35 35 37 39 44	UNSAFE
36 40 41 44 48 49	UNSAFE
39 43 44 48 51 53 52	UNSAFE
44 48 51 52 56 59 60 60	UNSAFE
44 48 52 55 59	UNSAFE
12 16 20 22 25 27 34	UNSAFE
54 58 59 64 65 68 69 72	UNSAFE
21 25 28 29 36 39 36	UNSAFE
21 25 27 29 32 35 40 40	UNSAFE
78 82 87 89 90 94	UNSAFE
33 37 39 45 47 48 51 58	UNSAFE
74 79 82 83 85	SAFE
29 35 38 40 42 39	SAFE
59 65 68 69 70 72 75 75	SAFE
9 15 18 21 23 26 30	SAFE
8 14 16 18 20 21 28	SAFE
57 63 66 69 68 71 74	UNSAFE
59 64 66 68 70 67 64	UNSAFE
11 16 18 17 20 22 23 23	UNSAFE
13 18 15 18 19 20 22 26	SAFE
47 53 54 55 52 55 62	UNSAFE
67 73 74 77 77 80 83 86	UNSAFE
79 86 86 88 85	UNSAFE
37 44 44 46 48 51 51	UNSAFE
10 15 18 20 20 21 22 26	UNSAFE
17 24 25 25 28 33	UNSAFE
64 71 74 78 81 82 85 86	UNSAFE
23 28 30 34 35 33	UNSAFE
24 29 33 35 35	UNSAFE
59 65 68 72 76	UNSAFE
5 11 13 15 19 21 23 28	UNSAFE
17 24 30 31 34 37 38	UNSAFE
38 43 46 47 53 55 54	UNSAFE
43 50 52 55 62 62	UNSAFE
55 62 65 67 68 73 77	UNSAFE
